"osm_id","linestrings"
23134342,"LINESTRING(23.9998152 35.5086347996903,23.9995551 35.5086243996903,23.9995316 35.5086239996903,23.9995084 35.5086268996903,23.999486 35.5086328996903,23.9994653 35.5086418996903,23.9994467 35.5086535996903,23.9994309 35.5086677996903,23.9994182 35.5086838996903,23.999409 35.5087014996903,23.9994036 35.5087200996903,23.9994012 35.5088605996904,23.9994036 35.5088740996903,23.9994089 35.5088886996904,23.9994159 35.5088999996904,23.9994249 35.5089101996904,23.9994391 35.5089186996904,23.9994598 35.5089247996904,23.9994815 35.5089280996903,23.9995036 35.5089285996904,23.9997989 35.5089107996904,24.0003304 35.5089456996903,24.0004068 35.5089444996903,24.0007996 35.5087463996903,24.0022313 35.5081730996903,24.0024248 35.5080948996903,24.0024515 35.5080833996903,24.002479 35.5080716996903,24.0025098 35.5080573996903,24.0025373 35.5080439996903,24.0025624 35.5080303996903,24.0025878 35.5080145996903,24.002634 35.5079797996903,24.0026659 35.5079512996903,24.0026908 35.5079228996903,24.0027116 35.5078960996903,24.0027277 35.5078697996903,24.00274 35.5078361996903,24.0027476 35.5078030996903,24.0027512 35.5077569996902,24.0027478 35.5077107996903,24.0027428 35.5076685996903,24.0027338 35.5076264996902,24.0027137 35.5075404996902,24.0026127 35.5071989996902,24.0025567 35.5070246996902,24.0025355 35.5069662996902,24.002534 35.5069259996902,24.0025604 35.5066024996902,24.0025865 35.5064606996901)"
164047386,"LINESTRING(24.0026127 35.5071989996902,24.0023109 35.5071864996902,24.0020878 35.5071772996902)"
822539209,"LINESTRING(24.0023109 35.5071864996902,24.0023077 35.5073457996902,24.0023094 35.5073658996902,24.0023108 35.5073832996902,24.0023148 35.5074017996902,24.0023214 35.5074266996902,24.0023285 35.5074485996902,24.0023879 35.5076341996903,24.0023378 35.5076513996902)"
275820058,"LINESTRING(24.0032694 35.5061884996901,24.0030462 35.5055974996901,24.002867 35.50523189969,24.0028376 35.50509989969)"
276090660,"LINESTRING(24.0028376 35.50509989969,24.0029394 35.50521869969,24.0031339 35.5055752996901,24.0031485 35.5056088996901,24.0033801 35.5061412996901,24.0034392 35.5062201996901,24.0034655 35.5062501996901,24.0034954 35.5062775996901,24.0035519 35.5063248996901,24.0036164 35.5063715996901)"
1070762564,"LINESTRING(24.0018532 35.5062637996901,24.0024446 35.5063491996901,24.0027045 35.5063867996901,24.0029507 35.5064242996902,24.0031149 35.5064386996901,24.0032589 35.5064386996901,24.0032813 35.5064386996901,24.0033215 35.5064344996901,24.0033648 35.5064299996901,24.0034542 35.5064104996901)"
1070758956,"LINESTRING(24.0031149 35.5064386996901,24.0031622 35.5064283996901,24.003199 35.5064092996901,24.0032235 35.5063866996901,24.0032392 35.5063623996901,24.0032458 35.5063521996901,24.0032519 35.5063374996901,24.0032581 35.5063221996901,24.0032648 35.5062922996901,24.0032692 35.5062568996901,24.0032694 35.5061884996901)"
1070766680,"LINESTRING(24.0034542 35.5064104996901,24.0033594 35.5063153996901,24.0032694 35.5061884996901)"
275820055,"LINESTRING(24.0034542 35.5064104996901,24.0036164 35.5063715996901)"
1070758955,"LINESTRING(24.0036164 35.5063715996901,24.0037247 35.5064201996901)"
